"Date","Open","High","Low","Close","Adj..Close","Volume","Daily_Return","Log_Return","Rolling_Vol","SMA_20","SMA_50","Signal","Buy_Signal","Sell_Signal"
2022-01-04,46205,47650,45485,46305,"46,305.00",5049,NA,NA,NA,NA,NA,NA,NA,NA
2022-01-05,46100,47100,43290,43830,"43,830.00",8922,-5.34499514091351,-5.49314321915145,NA,NA,NA,NA,NA,NA
2022-01-06,43405,43720,42375,43215,"43,215.00",5222,-1.4031485284052,-1.41308572261164,NA,NA,NA,NA,NA,NA
2022-01-07,43170,43240,40470,41870,"41,870.00",9276,-3.11234525049173,-3.16180771735496,NA,NA,NA,NA,NA,NA
2022-01-10,42205,42245,39470,41745,"41,745.00",8665,-0.29854310962503,-0.298989638508814,NA,NA,NA,NA,NA,NA
2022-01-11,41595,43155,41220,42805,"42,805.00",6191,2.53922625464127,2.50752345484851,NA,NA,NA,NA,NA,NA
2022-01-12,42695,44310,42455,43825,"43,825.00",4068,2.38289919401939,2.35495126128493,NA,NA,NA,NA,NA,NA
2022-01-13,43880,44450,42280,42675,"42,675.00",4068,-2.62407301768397,-2.65911621267939,NA,NA,NA,NA,NA,NA
2022-01-14,42620,43445,41680,43120,"43,120.00",4202,1.04276508494435,1.03736579202374,NA,NA,NA,NA,NA,NA
2022-01-18,43270,43315,41175,41665,"41,665.00",6821,-3.37430426716141,-3.43254787665716,NA,NA,NA,NA,NA,NA
2022-01-19,42430,42615,41080,41575,"41,575.00",6542,-0.216008640345614,-0.216242275517869,NA,NA,NA,NA,NA,NA
2022-01-20,41940,43545,41260,42675,"42,675.00",7229,2.6458208057727,2.61142436015129,NA,NA,NA,NA,NA,NA
2022-01-21,41125,41135,36150,38180,"38,180.00",11781,-10.5330990041008,-11.1301450382903,NA,NA,NA,NA,NA,NA
2022-01-24,35555,37600,32855,37220,"37,220.00",16299,-2.51440544787847,-2.54655670834968,NA,NA,NA,NA,NA,NA
2022-01-25,36490,37550,35725,36855,"36,855.00",8969,-0.980655561526061,-0.985495657285252,NA,NA,NA,NA,NA,NA
2022-01-26,36765,38895,36330,37060,"37,060.00",10251,0.556233889567223,0.554692621596162,NA,NA,NA,NA,NA,NA
2022-01-27,36555,37210,35485,35565,"35,565.00",8331,-4.03399892066918,-4.11762126717353,NA,NA,NA,NA,NA,NA
2022-01-28,36535,37415,36215,37075.89,"37,075.89",5566,4.24824968367777,4.1604884944863,NA,NA,NA,NA,NA,NA
2022-01-31,37845,38790,36620,38485,"38,485.00",4094,3.8006100460434,3.73016618559391,NA,NA,NA,NA,NA,NA
2022-02-01,38450,39275,38055,38585,"38,585.00",4095,0.259841496687021,0.259504492328572,NA,40716.5445,NA,NA,NA,NA
2022-02-02,38685,38900,36515,37535,"37,535.00",4396,-2.72126474018401,-2.75897688846006,56.5301091384683,40278.0445,NA,NA,NA,NA
2022-02-03,36970,37100,36235,36265,"36,265.00",4222,-3.38350872518982,-3.442074220959,54.5887408995108,39899.7945,NA,NA,NA,NA
2022-02-04,36930,40935,36895,40640,"40,640.00",9595,12.0639735281952,11.3899714454851,69.2020273535856,39771.0445,NA,NA,NA,NA
2022-02-07,41420,44615,41420,44235,"44,235.00",7457,8.84596456692913,8.47635276651229,75.185317592442,39889.2945,NA,NA,NA,NA
2022-02-08,44110,45605,42780,44340,"44,340.00",5873,0.237368599525263,0.237087325281608,75.1825704625709,40019.0445,NA,NA,NA,NA
2022-02-09,44235,44900,43210,44855,"44,855.00",4103,1.16147947677041,1.15478608230815,74.7541042040733,40121.5445,NA,NA,NA,NA
2022-02-10,44640,45905,43270,44180,"44,180.00",8449,-1.50484895775276,-1.51628670192757,74.4658596555833,40139.2945,NA,NA,NA,NA
2022-02-11,43950,44145,42075,42390,"42,390.00",6220,-4.05160706201901,-4.13597126274254,75.2677835304662,40125.0445,NA,NA,NA,NA
2022-02-14,42470,42930,41560,42205,"42,205.00",5402,-0.436423684831328,-0.437378792886253,75.192675048032,40079.2945,NA,NA,NA,NA
2022-02-15,42665,44620,42495,44215,"44,215.00",4089,4.76246890178889,4.65254005920151,76.1331574175686,40206.7945,NA,NA,NA,NA
